#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
C1orf159	1	-	1017202	1051478	1017202,1019732,1019860,1021257,1022518,1022881,1025732,1026851,1027370,1051439,	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1026945,1027483,1051478,
TTLL10	1	+	1109282	1133315	1109282,1109645,1109803,1114568,1115036,1115413,1115862,1116110,1117120,1117740,1118255,1119299,1120348,1131979,1132472,1132817,	1109306,1109701,1109869,1114713,1115117,1115720,1115981,1116240,1117195,1117826,1118427,1119471,1120489,1132096,1132566,1133315,
TNFRSF18	1	-	1138887	1141951	1138887,1139778,1140749,1141764,	1139340,1139866,1140872,1141951,
TNFRSF4	1	-	1146705	1149512	1146705,1147083,1147321,1148017,1148371,1149042,1149362,	1147005,1147212,1147518,1148084,1148473,1149165,1149512,
SDF4	1	-	1152310	1167411	1152310,1153837,1154148,1158623,1159211,1163847,1167271,	1153184,1154013,1154307,1158737,1159348,1164326,1167411,
B3GALT6	1	+	1167644	1170421	1167644,	1170421,
FAM132A	1	-	1177832	1182102	1177832,1178214,1178441,1178823,1179333,1179570,1179760,1181893,	1178026,1178293,1178532,1178932,1179485,1179655,1179877,1182102,
UBE2J2	1	-	1189849	1209265	1189849,1191424,1192371,1192587,1198725,1203241,1209045,	1190867,1191505,1192510,1192690,1198766,1203372,1209265,
SCNN1D	1	+	1215815	1227399	1215815,1216605,1216790,1217621,1219357,1220950,1221305,1222147,1222488,1222887,1223052,1223318,1225650,1225856,1226016,1226274,1226444,1226633,	1216046,1216677,1216990,1217695,1219470,1221044,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520,1227399,
ACAP3	1	-	1227755	1243398	1227755,1229202,1229469,1229781,1230097,1230826,1231115,1231394,1231590,1231804,1233201,1233392,1233749,1233946,1234724,1235210,1235352,1235537,1235888,1237367,1238301,1238541,1239465,1243148,	1229088,1229313,1229579,1230008,1230196,1230934,1231318,1231489,1231660,1232013,1233313,1233493,1233801,1234059,1234736,1235285,1235448,1235582,1236072,1237426,1238355,1238661,1239523,1243398,
PUSL1	1	+	1243946	1247057	1243946,1244294,1244465,1244833,1245060,1246013,1246288,1246709,	1244100,1244352,1244653,1244983,1245231,1246068,1246451,1247057,
CPSF3L	1	-	1246976	1260071	1246976,1247397,1247605,1247819,1247972,1248166,1248414,1248888,1249111,1249680,1250203,1250783,1250899,1254675,1255835,1256375,1259960,	1247304,1247527,1247748,1247881,1248080,1248329,1248504,1248972,1249301,1249745,1250342,1250818,1250998,1254904,1255909,1256473,1260071,
CPTP	1	+	1260146	1264277	1260146,1262215,1262620,	1260482,1262412,1264277,
TAS1R3	1	+	1266693	1270686	1266693,1267017,1267403,1268300,1268638,1268885,	1266916,1267318,1268186,1268504,1268759,1270686,
DVL1	1	-	1270655	1284730	1270655,1273356,1273648,1273901,1274666,1274961,1275115,1275417,1275626,1275789,1277046,1277432,1277742,1278068,1284275,	1271895,1273563,1273816,1274033,1274819,1275029,1275192,1275557,1275696,1275883,1277185,1277536,1277864,1278138,1284730,
MXRA8	1	-	1288070	1293915	1288070,1289227,1289409,1289572,1289733,1290061,1290623,1290829,1292060,1293835,	1289009,1289308,1289486,1289612,1289889,1290532,1290725,1291132,1292084,1293915,
AURKAIP1	1	-	1309109	1310875	1309109,1309379,1310084,1310533,	1309282,1309825,1310170,1310875,
CCNL2	1	-	1321874	1334692	1321874,1323156,1323333,1325609,1325838,1326145,1328775,1330773,1333612,1333976,1334398,	1322962,1323249,1323445,1325751,1325943,1326245,1328840,1330894,1333722,1334051,1334692,
MRPL20	1	-	1337287	1342693	1337287,1341188,1342288,1342510,	1337636,1341266,1342399,1342693,
ANKRD65	1	-	1353801	1356824	1353801,1355431,1356176,1356512,	1354929,1355972,1356385,1356824,
TMEM88B	1	+	1361507	1363167	1361507,1362933,	1361765,1363167,
VWA1	1	+	1371050	1378262	1371050,1372306,1374460,	1371201,1372864,1378262,
ATAD3C	1	+	1385068	1405538	1385068,1387425,1387744,1389724,1390839,1391170,1391604,1392508,1394540,1396129,1397979,1403763,	1386138,1387502,1387814,1389880,1390899,1391296,1391729,1392560,1394611,1396297,1398088,1405538,
ATAD3B	1	+	1407148	1431582	1407148,1412653,1414023,1414428,1416246,1417517,1417924,1420395,1421161,1421489,1421923,1423242,1424583,1425636,1425942,1430864,	1407469,1412730,1414125,1414488,1416316,1417683,1417994,1420551,1421218,1421615,1422048,1423294,1424654,1425804,1426051,1431582,
ATAD3A	1	+	1447530	1470065	1447530,1451391,1452690,1453095,1454300,1455520,1455927,1458123,1458890,1459218,1459652,1460619,1461840,1463074,1464602,1469305,	1447853,1451468,1452792,1453155,1454370,1455686,1455997,1458279,1458947,1459344,1459777,1460671,1461911,1463242,1464711,1470065,
TMEM240	1	-	1470553	1475737	1470553,1470968,1475063,1475669,	1470887,1471177,1475170,1475737,
SSU72	1	-	1477052	1510249	1477052,1479248,1480242,1500152,1509857,	1477547,1479367,1480382,1500296,1510249,
C1orf233	1	-	1533391	1535476	1533391,	1535476,
MIB2	1	+	1550822	1565985	1550822,1551887,1558768,1559153,1560174,1560370,1560665,1560925,1562029,1562216,1562453,1562675,1563052,1563398,1563652,1563868,1564512,1564764,1565018,1565671,	1551013,1551994,1559079,1559325,1560281,1560565,1560808,1561033,1562134,1562379,1562587,1562824,1563209,1563559,1563779,1564102,1564691,1564946,1565084,1565985,
MMP23B	1	+	1567559	1633249	1567559,1568161,1568359,1568566,1569126,1632586,1632799,1633046,	1567753,1568292,1568499,1568734,1569291,1632697,1632926,1633249,
CDK11B	1	-	1570948	1590473	1570948,1571298,1571694,1572043,1572258,1572442,1572769,1573123,1573861,1575637,1576408,1577022,1577266,1577707,1580486,1586822,1588824,1590374,	1571218,1571488,1571843,1572160,1572366,1572564,1572875,1573245,1573952,1575813,1576474,1577181,1577362,1577869,1580623,1586938,1588948,1590473,
SLC35E2B	1	-	1592938	1624083	1592938,1594841,1595867,1599765,1601102,1601536,1602947,1606901,1607502,1607816,1622414,1623887,	1594840,1595855,1597458,1599911,1601175,1601590,1603068,1607029,1607638,1608285,1622832,1624083,
CDK11A	1	-	1634319	1655763	1634319,1634518,1634914,1635262,1635477,1635661,1635988,1636342,1637080,1638847,1639618,1640232,1640476,1640956,1643702,1647784,1650766,1653034,1654146,1655696,	1634438,1634708,1635063,1635379,1635585,1635783,1636094,1636464,1637171,1639023,1639684,1640391,1640572,1641079,1643839,1647917,1650894,1653150,1654270,1655763,
SLC35E2	1	-	1663680	1677431	1663680,1666128,1669759,1670360,1670674,1677162,	1663962,1666274,1669887,1670496,1671143,1677431,
NADK	1	-	1682670	1709909	1682670,1685005,1685489,1685722,1685982,1686812,1687696,1687941,1688619,1693390,1696666,1709727,	1684499,1685088,1685647,1685822,1686137,1686915,1687782,1688047,1688749,1693474,1696885,1709909,
GNB1	1	-	1716723	1822556	1716723,1718760,1720491,1721833,1724683,1735857,1737913,1747194,1749275,1756835,1822258,	1718492,1718876,1720708,1722035,1724750,1736020,1737977,1747301,1749314,1756938,1822556,
CALML6	1	+	1846265	1848733	1846265,1847123,1847879,1848190,1848412,1848585,	1846746,1847174,1848054,1848335,1848513,1848733,
TMEM52	1	-	1849029	1850712	1849029,1849691,1850331,1850483,1850620,	1849601,1849870,1850373,1850527,1850712,
CFAP74	1	-	1853389	1935276	1853389,1854423,1854805,1855213,1855829,1857221,1857666,1857895,1858090,1858332,1859045,1860222,1861498,1870293,1871032,1871754,1873466,1875769,1877755,1878428,1887129,1888058,1890558,1891402,1895187,1896326,1897809,1900073,1902097,1903418,1904375,1905463,1916824,1918375,1919950,1920327,1922328,1935139,	1853827,1854554,1854938,1855368,1855959,1857377,1857786,1857951,1858200,1858467,1859185,1860321,1861775,1870427,1871206,1871842,1873595,1875891,1877878,1878493,1887289,1888223,1890648,1891469,1895306,1896500,1897965,1900272,1902255,1903521,1904486,1905637,1916929,1918474,1920094,1920412,1922414,1935276,
GABRD	1	+	1950762	1962190	1950762,1956380,1956772,1956956,1959015,1959593,1960549,1960989,1961421,	1950930,1956493,1956840,1957177,1959098,1959731,1960705,1961201,1962190,
FAAP20	1	-	2120986	2126213	2120986,2125077,2125436,2126126,	2121220,2125349,2125572,2126213,
AL590822.2	1	+	2121236	2123179	2121236,	2123179,
AL590822.1	1	-	2143359	2145620	2143359,	2145620,
SKI	1	+	2160133	2241558	2160133,2234416,2234723,2235278,2235731,2237458,2238015,	2161174,2234542,2234839,2235541,2236024,2237689,2241558,
MORN1	1	-	2252691	2323146	2252691,2255535,2267907,2268155,2288870,2290030,2303919,2305899,2316416,2317245,2318857,2319677,2321363,2322896,	2253018,2255582,2267987,2268289,2289037,2290154,2304030,2305996,2316504,2317336,2318968,2319776,2321435,2323146,
AL589739.1	1	+	2258580	2259042	2258580,	2259042,
RER1	1	+	2323271	2336883	2323271,2327222,2328554,2330853,2332295,2333645,2334473,	2323397,2327310,2328659,2330953,2332374,2333781,2336883,
PEX10	1	-	2336257	2344010	2336257,2337922,2338158,2339890,2341809,2343829,	2337273,2338058,2338334,2340297,2341890,2344010,
PLCH2	1	+	2407753	2436964	2407753,2409914,2411172,2411621,2415886,2418345,2418611,2419036,2420645,2421198,2422630,2426294,2426926,2428045,2428266,2428940,2429961,2430182,2430522,2431079,2433550,2435360,	2408151,2410061,2411416,2411751,2416057,2418439,2418815,2419157,2420817,2421306,2422774,2426387,2427009,2428143,2428449,2429048,2430086,2430267,2430669,2431159,2433848,2436964,
PANK4	1	-	2439971	2458067	2439971,2441300,2441495,2442116,2442776,2443066,2444326,2445440,2445792,2447000,2449602,2449954,2450581,2451239,2451760,2452161,2452539,2453156,2457902,	2440499,2441369,2441596,2442221,2442826,2443122,2444478,2445528,2445905,2447156,2449703,2450036,2450763,2451393,2451853,2452345,2452754,2453239,2458067,
HES5	1	-	2460183	2461684	2460183,2461284,2461549,	2461188,2461450,2461684,
TNFRSF14	1	+	2487804	2495268	2487804,2489164,2489781,2491261,2492062,2493111,2494303,2494586,	2488172,2489273,2489907,2491417,2492153,2493254,2494335,2495268,
FAM213B	1	+	2518213	2522907	2518213,2518529,2519179,2519828,2519988,2520360,2520848,	2518387,2518734,2519231,2519892,2520064,2520479,2522907,
MMEL1	1	-	2522081	2564429	2522081,2522995,2523370,2524093,2524271,2525252,2525823,2526228,2526714,2527447,2527999,2529645,2530092,2535322,2535585,2536996,2537686,2538412,2540777,2541108,2542719,2543565,2560769,2564304,	2522528,2523072,2523466,2524159,2524405,2525372,2525882,2526332,2526798,2527546,2528128,2529739,2530229,2535412,2535720,2537062,2537805,2538508,2540858,2541270,2542779,2543643,2560960,2564429,
TTC34	1	-	2567414	2706320	2567414,2575702,2576731,2700153,2702383,2704045,2706067,	2573334,2575917,2577002,2700320,2702588,2704271,2706320,
ACTRT2	1	+	2938046	2939467	2938046,	2939467,
PRDM16	1	+	2985774	3355185	2985774,3102688,3160650,3301715,3313054,3319354,3321302,3322058,3327947,3331123,3334391,3335230,3342144,3342614,3347435,3348529,3350240,	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704,3355185,
ARHGEF16	1	+	3370989	3397677	3370989,3379629,3382711,3383731,3385443,3385996,3389641,3389956,3391271,3392533,3394438,3394987,3396080,3396375,3397011,	3371375,3380236,3382757,3383901,3385500,3386157,3389794,3390086,3391346,3392626,3394590,3395176,3396154,3396477,3397677,
MEGF6	1	-	3406489	3528059	3406489,3407475,3409202,3410334,3410559,3410934,3411176,3412453,3413218,3413551,3413796,3414934,3415261,3415701,3416151,3416359,3417196,3417529,3417740,3418359,3421771,3421985,3422671,3424358,3425121,3425638,3426433,3427346,3428113,3428569,3431113,3431965,3440687,3496388,3511901,3519029,3527701,	3407153,3407523,3409331,3410463,3410688,3411063,3411305,3412582,3413347,3413683,3413925,3415063,3415390,3415830,3416280,3416488,3417328,3417658,3417872,3418485,3421906,3422120,3422800,3424487,3425253,3425809,3426556,3427466,3428251,3428692,3431236,3432091,3440810,3496493,3512011,3519164,3528059,
TPRG1L	1	+	3541565	3546691	3541565,3541987,3542276,3544063,3544972,	3541837,3542079,3542453,3544217,3546691,
WRAP73	1	-	3547330	3566637	3547330,3548029,3548776,3549961,3551560,3551723,3552507,3553558,3555313,3563229,3563971,3566494,	3547681,3548221,3548902,3550067,3551638,3551858,3552594,3553662,3555386,3563346,3564124,3566637,
TP73	1	+	3569083	3652765	3569083,3598896,3599623,3624112,3638584,3639917,3643678,3644191,3644692,3645890,3646563,3647490,3648026,3649310,	3569205,3598994,3599744,3624355,3638771,3640033,3643788,3644334,3644781,3646012,3646712,3647629,3648120,3652765,
CCDC27	1	+	3668961	3688208	3668961,3670681,3672020,3673296,3677844,3679183,3679671,3680269,3683098,3683796,3686346,3687964,	3669363,3670805,3672131,3673454,3677994,3679276,3680038,3680400,3683176,3684009,3686451,3688208,
SMIM1	1	+	3689351	3692546	3689351,3689626,3691862,3692358,	3689405,3689745,3692047,3692546,
LRRC47	1	-	3695121	3713068	3695121,3698075,3699224,3700559,3701650,3703412,3712425,	3697900,3698165,3699327,3700675,3701767,3703874,3713068,
CEP104	1	-	3728644	3773763	3728644,3732843,3739737,3739987,3742321,3742933,3743271,3745829,3746354,3747609,3750425,3751488,3753058,3753855,3755527,3756171,3761470,3761852,3764038,3765171,3768858,3773452,	3732081,3732934,3739805,3740126,3742430,3743000,3743308,3745937,3746561,3747786,3750599,3751656,3753256,3754083,3755683,3756340,3761547,3761915,3764177,3765345,3768985,3773763,
DFFB	1	+	3773844	3801993	3773844,3775281,3782375,3784537,3786168,3789035,3800070,	3774281,3775408,3782564,3784617,3786339,3789136,3801993,
C1orf174	1	-	3805688	3816849	3805688,3807132,3809446,3816735,	3806637,3807621,3809560,3816849,
AJAP1	1	+	4714791	4837854	4714791,4771959,4829912,4832339,4834486,4837460,	4715514,4772759,4830000,4832585,4834618,4837854,
NPHP4	1	-	5922877	6052531	5922877,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303,	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052531,
KCNAB2	1	+	6052422	6161253	6052422,6100576,6101890,6132814,6133792,6142254,6145263,6147526,6149067,6150448,6154459,6155382,6155589,6156695,6157328,6158544,	6052848,6100705,6101932,6132858,6133830,6142334,6145308,6147571,6149111,6150535,6154545,6155503,6155684,6156816,6157417,6161253,
AL035406.1	1	-	6100629	6101399	6100629,6101388,	6100699,6101399,
CHD5	1	-	6161852	6240183	6161852,6166293,6166454,6166675,6169854,6170453,6171834,6172199,6172968,6181164,6181553,6184007,6184576,6185159,6185583,6185825,6186631,6188105,6188558,6188897,6190263,6191690,6194187,6194777,6195289,6196576,6196787,6202187,6202473,6203882,6204083,6206271,6206724,6208913,6209305,6211091,6212471,6214719,6215658,6219395,6228209,6240004,	6165487,6166347,6166569,6166839,6170050,6170586,6171943,6172337,6173058,6181297,6181633,6184167,6184721,6185293,6185672,6185918,6186806,6188278,6188669,6189129,6190388,6191808,6194319,6194919,6195463,6196698,6196925,6202388,6202665,6203991,6204215,6206483,6206931,6209135,6209472,6211215,6212596,6214958,6215777,6219575,6228337,6240183,
RPL22	1	-	6245079	6259672	6245079,6252989,6257711,6259621,	6246876,6253114,6257816,6259672,
RNF207	1	+	6266235	6281359	6266235,6266595,6267438,6268940,6269174,6269327,6269473,6269983,6270282,6270429,6270929,6271080,6271926,6272290,6272741,6273125,6278348,6279295,	6266362,6266786,6267571,6269085,6269256,6269403,6269599,6270030,6270355,6270498,6270998,6271178,6272113,6272476,6272793,6273243,6278429,6281359,
ICMT	1	-	6281252	6296000	6281252,6291961,6293533,6294945,6295776,	6285322,6292179,6293703,6295034,6296000,
HES3	1	+	6304251	6305638	6304251,6304410,6304607,6305169,	6304301,6304506,6304689,6305638,
GPR153	1	-	6307405	6321035	6307405,6310499,6311397,6313777,6314609,6320884,	6310063,6310684,6311590,6314207,6315074,6321035,
ACOT7	1	-	6324332	6445873	6324332,6341161,6354923,6378551,6387358,6393536,6399492,6409808,6445553,	6324755,6341346,6355040,6378638,6387473,6393628,6399649,6409926,6445873,
HES2	1	-	6475291	6479979	6475291,6479300,6479666,6479835,	6479213,6479400,6479762,6479979,
ESPN	1	+	6484847	6521004	6484847,6488285,6500313,6500685,6500993,6504540,6505723,6508700,6511662,6511892,6517243,6517420,6520058,	6485309,6488479,6500500,6500868,6501125,6504742,6505995,6509151,6511808,6512156,6517323,6517432,6521004,
TNFRSF25	1	-	6521210	6526235	6521210,6522053,6522688,6522922,6523124,6524434,6524611,6525147,6525499,6526128,	6521822,6522234,6522726,6523030,6523207,6524513,6524779,6525282,6525620,6526235,
PLEKHG5	1	-	6526151	6546014	6526151,6527884,6529101,6529394,6529603,6530295,6530565,6530794,6531049,6531547,6531817,6532586,6533045,6533310,6534072,6534510,6535106,6535521,6535990,6537588,6545895,	6527632,6528646,6529301,6529510,6529736,6530415,6530703,6530944,6531160,6531697,6531868,6532682,6533234,6533514,6534224,6534647,6535198,6535582,6536096,6537718,6546014,
NOL9	1	-	6581406	6614595	6581406,6586755,6589053,6592027,6592522,6593339,6601889,6604885,6605104,6609630,6610455,6614166,	6586063,6586889,6589231,6592139,6592820,6593501,6601987,6604982,6605240,6609758,6610675,6614595,
TAS1R1	1	+	6615240	6639817	6615240,6630968,6634690,6636474,6637009,6638712,	6615624,6631275,6635452,6636687,6637130,6639817,
ZBTB48	1	+	6640107	6649340	6640107,6640600,6642117,6645978,6646754,6647264,6647537,6648119,6648337,6648815,6648975,	6640196,6641359,6642359,6646090,6646847,6647351,6647692,6648256,6648502,6648904,6649340,
KLHL21	1	-	6650783	6662929	6650783,6655544,6659106,6661856,	6653718,6655617,6659512,6662929,
PHF13	1	+	6673744	6684093	6673744,6676816,6679862,6681470,	6674165,6676918,6680397,6684093,
THAP3	1	+	6685251	6695646	6685251,6688558,6690347,6692429,6694079,	6685352,6688751,6690413,6692555,6695646,
DNAJC11	1	-	6694227	6761984	6694227,6696176,6697257,6697506,6698354,6699961,6704617,6705100,6705848,6711588,6712888,6713970,6727768,6738453,6740967,6761788,	6695760,6696306,6697400,6697564,6698424,6700117,6704734,6705186,6706038,6711662,6713011,6714099,6727870,6738527,6741097,6761984,
CAMTA1	1	+	6845383	7829766	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798018,7804894,7805904,7807769,7811258,7812518,7815697,7826518,	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,7829766,
VAMP3	1	+	7831328	7841492	7831328,7833501,7837219,7838177,7839685,	7831445,7833571,7837378,7838229,7841492,
PER3	1	+	7844762	7905237	7844762,7845500,7846780,7848104,7854019,7858584,7861172,7863106,7863751,7868952,7869952,7870497,7879344,7880174,7880526,7886539,7887177,7889896,7895821,7897058,7902731,	7845065,7845646,7846896,7848306,7854068,7858733,7861251,7863213,7863908,7869058,7870081,7870627,7879480,7880299,7880700,7886770,7887875,7890221,7896005,7897209,7905237,
UTS2	1	-	7907825	7913491	7907825,7909699,7910871,7912960,7913366,	7907942,7909743,7910982,7912983,7913491,
TNFRSF9	1	-	7975953	8003225	7975953,7993221,7995072,7997749,7998252,7998780,7999954,8000843,8003198,	7980983,7993356,7995203,7997816,7998390,7998888,8000138,8000993,8003225,
PARK7	1	+	8021722	8045339	8021722,8022822,8025383,8029404,8030953,8037711,8044953,	8021853,8022935,8025485,8029464,8031023,8037798,8045339,
ERRFI1	1	-	8071778	8086368	8071778,8075367,8075554,8086217,	8074456,8075444,8075752,8086368,
SLC45A1	1	+	8384389	8404227	8384389,8385357,8385877,8390268,8395496,8397875,8399552,8403806,	8384786,8385450,8386102,8390996,8395650,8398052,8399758,8404227,
RERE	1	-	8412456	8877524	8412456,8415478,8416159,8418255,8419823,8420171,8421822,8422742,8424115,8424805,8425871,8482786,8525984,8555122,8557464,8568685,8601272,8616533,8617476,8674619,8684368,8716031,8852462,8877218,	8415180,8415659,8416306,8418976,8420046,8421550,8421936,8422904,8424315,8424898,8426034,8482867,8526083,8555222,8557589,8568734,8601377,8616630,8617582,8674745,8684439,8716500,8852647,8877524,
ENO1	1	-	8921060	8938749	8921060,8922945,8923293,8923949,8925343,8926337,8927175,8928046,8930510,8931949,8934882,8938638,	8921488,8923004,8923402,8924151,8925541,8926560,8927309,8928116,8930569,8932045,8934976,8938749,
CA6	1	+	9005941	9035151	9005941,9009321,9017195,9018968,9022645,9027717,9030925,9034680,	9006024,9009501,9017344,9019061,9022715,9027875,9031040,9035151,
SLC2A7	1	-	9063358	9086404	9063358,9064810,9067368,9070201,9073583,9074739,9075175,9078281,9079267,9082976,9085034,9086353,	9063577,9064938,9067444,9070303,9073694,9074927,9075301,9078434,9079392,9083137,9085133,9086404,
SLC2A5	1	-	9095165	9129775	9095165,9097955,9098489,9098886,9099610,9099858,9100122,9101843,9107668,9117506,9118210,9129562,	9097848,9098083,9098565,9098988,9099721,9100046,9100248,9101996,9107793,9117667,9118309,9129775,
GPR157	1	-	9160363	9189229	9160363,9165544,9171334,9188703,	9164693,9165739,9171548,9189229,
H6PD	1	+	9294833	9331396	9294833,9304983,9307024,9322117,9323567,	9295125,9305620,9307142,9322387,9331396,
SPSB1	1	+	9352938	9429591	9352938,9415801,9427506,	9353130,9416644,9429591,
SLC25A33	1	+	9599540	9645237	9599540,9613683,9627341,9630315,9633403,9640011,9642356,	9599806,9613863,9627419,9630416,9633470,9640292,9645237,
TMEM201	1	+	9648979	9674907	9648979,9655947,9656916,9658506,9661162,9662126,9667614,9669897,9670563,9671810,9673043,	9649101,9656068,9657111,9658683,9661512,9662330,9667847,9669969,9670863,9671948,9674907,
PIK3CD	1	+	9711802	9788977	9711802,9751524,9770481,9775598,9775906,9776497,9777016,9777594,9778751,9779978,9780169,9780668,9780799,9781184,9781501,9781818,9782032,9782301,9782585,9783182,9784026,9784333,9784861,9786966,	9711860,9751629,9770654,9775827,9776136,9776677,9777166,9777684,9778973,9780075,9780300,9780719,9780967,9781306,9781645,9781918,9782211,9782414,9782664,9783350,9784150,9784479,9784994,9788977,
CLSTN1	1	-	9789085	9884042	9789085,9791263,9791818,9793458,9794029,9795005,9795524,9795942,9797555,9801151,9803941,9804452,9809518,9809821,9811530,9815171,9833329,9883700,	9790763,9791448,9791954,9793604,9794200,9795232,9795673,9796100,9797612,9801314,9804063,9804701,9809704,9809971,9811739,9815367,9833452,9884042,
CTNNBIP1	1	-	9908333	9970321	9908333,9931244,9932026,9937962,9943762,9970152,	9910834,9931335,9932146,9938047,9943796,9970321,
LZIC	1	-	9988996	10003387	9988996,9991948,9992860,9994819,9995549,9996576,10002681,10003306,	9990515,9992030,9992956,9994918,9995685,9996685,10002840,10003387,
NMNAT1	1	+	10003485	10045556	10003485,10032075,10035649,10041088,10042358,	10003573,10032246,10035833,10041228,10045556,
RBP7	1	+	10057273	10076078	10057273,10067627,10068230,10075839,	10057389,10067806,10068332,10076078,
UBE4B	1	+	10092889	10240425	10092889,10132085,10155518,10161165,10163005,10165573,10177516,10179570,10182019,10186851,10189449,10190557,10190772,10192426,10195045,10197124,10204997,10207020,10209241,10211383,10218413,10221199,10228193,10231195,10238701,10239473,10239952,	10093752,10132272,10155654,10161253,10163150,10165802,10177658,10179671,10182134,10186935,10189506,10190674,10190871,10192540,10195244,10197263,10205097,10207148,10209340,10211619,10218540,10221344,10228328,10231387,10238876,10239620,10240425,
KIF1B	1	+	10270862	10437995	10270862,10292307,10316304,10318550,10321962,10327437,10328209,10331559,10332298,10335485,10336378,10338043,10342457,10351139,10352104,10355143,10355717,10356639,10356954,10357231,10380100,10381766,10383941,10384815,10386168,10394577,10396714,10397131,10397428,10399826,10402107,10403289,10405902,10407818,10408706,10412688,10420986,10421749,10423340,10425157,10425466,10428524,10431198,10434373,10434911,10435312,10436602,	10270936,10292492,10316381,10318730,10322028,10327616,10328321,10331637,10332364,10335561,10336457,10338186,10342591,10351219,10352180,10355223,10355824,10356723,10357135,10357304,10380194,10381915,10384120,10384953,10386417,10394696,10396800,10397261,10397591,10399917,10402226,10403345,10406011,10407885,10408791,10412794,10421101,10421883,10423402,10425303,10425706,10428596,10431320,10434523,10435104,10435431,10437995,
PGD	1	+	10459136	10480201	10459136,10459685,10460449,10463127,10464217,10468127,10471474,10473118,10477043,10477432,10478882,10479473,10479686,	10459182,10459761,10460629,10463193,10464336,10468197,10471609,10473308,10477174,10477566,10478982,10479596,10480201,
APITD1-CORT	1	+	10490158	10512210	10490158,10493898,10494713,10500403,10511433,	10490625,10494022,10494747,10500470,10512210,
APITD1	1	+	10490499	10502866	10490499,10493898,10494713,10500403,10502321,	10490625,10494022,10494747,10500470,10502866,
CORT	1	+	10509775	10511959	10509775,10511433,	10510379,10511959,
DFFA	1	-	10516578	10532583	10516578,10523114,10523487,10527246,10529233,10532379,	10521759,10523266,10523677,10527389,10529395,10532583,
